ATF7IP,activating transcription factor 7 interacting protein,Histone modification write cofactor,Histone methylation,#,#,,,,,,,,,,,
BCOR,BCL6 corepressor,Polycomb group (PcG) protein,#,#,#,,,,,,,,,,,
BPTF,bromodomain PHD finger transcription factor,Chromatin remodeling,#,#,#,,,,,,,,,,,
BRWD3,bromodomain and WD repeat domain containing 3,Histone modification read,#,H3,#,,,,,,,,,,,
DZIP3,DAZ interacting zinc finger protein 3,Histone modification write,Histone ubiquitination,H2AK119,H2AK119ub,,,,,,,,,,,
ING5,inhibitor of growth family, member 5,Histone modification read,#,H3K4me3, H3K4me2,#,,,,,,,,,
NCOA3,nuclear receptor coactivator 3,Histone modification write,Histone acetylation,#,#,,,,,,,,,,,
PRKCB,protein kinase C, beta,Histone modification write,Histone methylation,H3T6,H3T6ph,,,,,,,,,,
UBR2,ubiquitin protein ligase E3 component n-recognin 2,Histone modification write,Histone ubiquitination,H2A,#,,,,,,,,,,,
UIMC1,ubiquitin interaction motif containing 1,Histone modification read,#,H2AK63ub, H2AXK63ub, H2BK63ub,#,,,,,,,,,
