Sample_Type,Donor,Samples,count,Nos_cells
CTC-cluster,Br11,Br11.10,2,2
CTC-cluster,Br11,Br11.18,2,2
CTC-cluster,Br16,Br16.3,3,2
CTC-cluster,Br16,Br16.5,3,3
CTC-cluster,Br16,Br16.6,3,3
CTC-cluster,Br23,Br23.20,4,1
CTC-cluster,Br23,Br23.23,4,1
CTC-cluster,Br23,Br23.26,4,1
CTC-cluster,Br23,Br23.27,4,3
CTC-cluster,Br39,Br39.23,1,2
CTC-cluster,Br53,Br53.CTC.1,1,2
CTC-cluster,Br57,Br57.CTC.17,1,2
CTC-cluster,Br61,Br61.CTC.18,7,1
CTC-cluster,Br61,Br61.CTC.22,7,1
CTC-cluster,Br61,Br61.CTC.23,7,2
CTC-cluster,Br61,Br61.CTC.24,7,2
CTC-cluster,Br61,Br61.CTC.34,7,1
CTC-cluster,Br61,Br61.CTC.38,7,2
CTC-cluster,Br61,Br61.CTC.45,7,1
CTC-cluster,Br7,Br7.7.12,2,3
CTC-cluster,Br7,Br7.1.SG,2,3
CTC-single,Br11,Br11.1,11,1
CTC-single,Br11,Br11.11,11,1
CTC-single,Br11,Br11.17,11,1
CTC-single,Br11,Br11.19,11,1
CTC-single,Br11,Br11.2,11,1
CTC-single,Br11,Br11.3,11,1
CTC-single,Br11,Br11.4,11,1
CTC-single,Br11,Br11.6,11,1
CTC-single,Br11,Br11.7,11,1
CTC-single,Br11,Br11.8,11,1
CTC-single,Br11,Br11.9,11,1
CTC-single,Br16,Br16.1,2,1
CTC-single,Br16,Br16.4,2,1
CTC-single,Br23,Br23.28,1,1
CTC-single,Br37,Br37.1,2,1
CTC-single,Br37,Br37.2,2,1
CTC-single,Br38,Br38.5,3,1
CTC-single,Br38,Br38.6,3,1
CTC-single,Br38,Br38.12,3,1
CTC-single,Br39,Br39.15,4,1
CTC-single,Br39,Br39.16,4,1
CTC-single,Br39,Br39.28,4,1
CTC-single,Br39,Br39.1,4,1
CTC-single,Br44,Br44.3,1,1
CTC-single,Br45,Br45.CTC.2,2,1
CTC-single,Br45,Br45.CTC.3,2,1
CTC-single,Br57,Br57.CTC.10,13,1
CTC-single,Br57,Br57.CTC.11,13,1
CTC-single,Br57,Br57.CTC.12,13,1
CTC-single,Br57,Br57.CTC.13,13,1
CTC-single,Br57,Br57.CTC.14,13,1
CTC-single,Br57,Br57.CTC.15,13,1
CTC-single,Br57,Br57.CTC.16,13,1
CTC-single,Br57,Br57.CTC.2,13,1
CTC-single,Br57,Br57.CTC.3,13,1
CTC-single,Br57,Br57.CTC.4,13,1
CTC-single,Br57,Br57.CTC.7,13,1
CTC-single,Br57,Br57.CTC.8,13,1
CTC-single,Br57,Br57.CTC.9,13,1
CTC-single,Br61,Br61.CTC.10,7,1
CTC-single,Br61,Br61.CTC.13,7,1
CTC-single,Br61,Br61.CTC.20,7,1
CTC-single,Br61,Br61.CTC.25,7,1
CTC-single,Br61,Br61.CTC.35,7,1
CTC-single,Br61,Br61.CTC.4,7,1
CTC-single,Br61,Br61.CTC.6,7,1
CTC-single,Br7,Br7.2,2,1
CTC-single,Br7,Br7.5,2,1
